Datetime,Close
2024-06-05 05:00:00+00:00,True
2024-06-10 01:00:00+00:00,True
2024-06-12 21:00:00+00:00,True
2024-06-16 11:00:00+00:00,True
2024-06-19 17:00:00+00:00,True
2024-06-22 12:00:00+00:00,True
2024-06-25 07:00:00+00:00,True
2024-06-27 13:00:00+00:00,True
2024-06-30 21:00:00+00:00,True
2024-07-06 04:00:00+00:00,True
2024-07-09 01:00:00+00:00,True
2024-07-13 07:00:00+00:00,True
2024-07-19 10:00:00+00:00,True
2024-07-24 21:00:00+00:00,True
2024-07-26 12:00:00+00:00,True
2024-08-06 08:00:00+00:00,True
2024-08-11 10:00:00+00:00,True
2024-08-13 17:00:00+00:00,True
2024-08-18 04:00:00+00:00,True
2024-08-20 00:00:00+00:00,True
2024-08-22 14:00:00+00:00,True
2024-09-03 01:00:00+00:00,True
2024-09-05 02:00:00+00:00,True
2024-09-08 06:00:00+00:00,True
2024-09-12 11:00:00+00:00,True
2024-09-17 17:00:00+00:00,True
2024-09-19 05:00:00+00:00,True
2024-09-24 10:00:00+00:00,True
2024-09-29 23:00:00+00:00,True
2024-10-04 19:00:00+00:00,True
2024-10-11 13:00:00+00:00,True
2024-10-17 03:00:00+00:00,True
2024-10-18 18:00:00+00:00,True
